year,amount,inflation rate
1970,1.00,0.06
1971,1.04,0.04
1972,1.08,0.03
1973,1.14,0.06
1974,1.27,0.11
1975,1.39,0.09
1976,1.47,0.06
1977,1.56,0.07
1978,1.68,0.08
1979,1.87,0.11
1980,2.12,0.13
1981,2.34,0.10
1982,2.49,0.06
1983,2.57,0.03
1984,2.68,0.04
1985,2.77,0.04
1986,2.82,0.02
1987,2.93,0.04
1988,3.05,0.04
1989,3.20,0.05
1990,3.37,0.05
1991,3.51,0.04
1992,3.62,0.03
1993,3.72,0.03
1994,3.82,0.03
1995,3.93,0.03
1996,4.04,0.03
1997,4.14,0.02
1998,4.20,0.02
1999,4.29,0.02
2000,4.44,0.03
2001,4.56,0.03
2002,4.64,0.02
2003,4.74,0.02
2004,4.87,0.03
2005,5.03,0.03
2006,5.20,0.03
2007,5.34,0.03
2008,5.55,0.04
2009,5.53,-0.00
2010,5.62,0.02
2011,5.80,0.03
2012,5.92,0.02
2013,6.00,0.01
2014,6.10,0.02
2015,6.11,0.00
2016,6.19,0.01
2017,6.32,0.02
2018,6.48,0.02
2019,6.59,0.02
2020,6.67,0.01
